DIRECTORATE,SUB DIRECTORTE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,ACCOUNT TYPE
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,01/06/2020,405113,Computacenter (UK) Limited,"9,744.57",Revenue
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/06/2020,440615,Triangle Consulting Social Enterprise Limited,561.00,Revenue
DIRECT POLICY,GF GENERAL EXPENDITURE POLICY,01/06/2020,471921,Fiddes & Son Limited T/A Bowcom,"11,600.00",Revenue
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,01/06/2020,810118,Tugbury Limited,599.94,Capital
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,01/06/2020,810118,AECOM Limited,"4,183.05",Capital
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,01/06/2020,810118,ISG Construction Limited,"966,603.27",Capital
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,01/06/2020,810119,Tugbury Limited,618.12,Capital
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,01/06/2020,810121,Tugbury Limited,599.94,Capital
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/06/2020,323655,Gwynedd Council,"2,476.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/06/2020,323655,Gwynedd Council,"4,913.00",Revenue
DIRECT POLICY,GF GENERAL EXPENDITURE POLICY,01/06/2020,471900,Wales Audit Office,"8,117.00",Revenue
DIRECT POLICY,GF GENERAL EXPENDITURE POLICY,01/06/2020,471900,Wales Audit Office,"8,118.00",Revenue
DIRECT POLICY,GF FUNDING,01/06/2020,475970,The Police and Crime Commissioner for South Wales,"1,381,893.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,01/06/2020,356600,Keith Walden t/a Keith Walden Master Thatcher,"10,400.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215022,Heidi Christoforato t/a Churchfields Home Care,500.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215022,Heidi Christoforato t/a Churchfields Home Care,500.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215022,Heidi Christoforato t/a Churchfields Home Care,"1,000.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,1st Grade Care Limited,502.89,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,All Saints DC Limited,511.01,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Cherish Cymru Limited,538.31,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Heidi Christoforato t/a Churchfields Home Care,572.16,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,1st Grade Care Limited,585.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,587.20,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Cherish Cymru Limited,605.48,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,All Saints DC Limited,606.98,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Annwyl Limited t/a Bluebird Care,615.05,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Cherish Cymru Limited,634.50,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,All Saints DC Limited,636.51,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,1st Grade Care Limited,640.77,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,1st Grade Care Limited,640.78,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Annwyl Limited t/a Bluebird Care,643.44,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Heidi Christoforato t/a Churchfields Home Care,660.62,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Cherish Cymru Limited,679.52,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,All Saints DC Limited,681.35,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,1st Grade Care Limited,683.70,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,1st Grade Care Limited,691.39,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,All Saints DC Limited,705.50,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Annwyl Limited t/a Bluebird Care,707.54,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,All Saints DC Limited,722.18,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,1st Grade Care Limited,723.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Annwyl Limited t/a Bluebird Care,724.28,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Willowmere Home Care Agency Limited,739.42,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,1st Grade Care Limited,748.44,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,All Saints DC Limited,753.12,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,All Saints DC Limited,773.31,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Annwyl Limited t/a Bluebird Care,805.29,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Annwyl Limited t/a Bluebird Care,822.47,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Annwyl Limited t/a Bluebird Care,829.07,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,845.75,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Annwyl Limited t/a Bluebird Care,854.06,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,All Saints DC Limited,900.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,1st Grade Care Limited,943.76,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Heidi Christoforato t/a Churchfields Home Care,"1,041.82",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,All Saints DC Limited,"1,519.97",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Cherish Cymru Limited,"1,542.42",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,All Saints DC Limited,"2,092.13",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,216179,All Saints DC Limited,519.81,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,216179,1st Grade Care Limited,681.33,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,216179,Cherish Cymru Limited,"1,856.51",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,217909,Heidi Christoforato t/a Churchfields Home Care,598.69,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,217909,Heidi Christoforato t/a Churchfields Home Care,676.85,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,218321,Cherish Cymru Limited,"1,788.88",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,218419,A1 Care Services Limited t/a Ty Ceirios Nursing Home,517.95,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,02/06/2020,100303,A & R Contract Cleaning Specialist Limited,600.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,02/06/2020,100303,A & R Contract Cleaning Specialist Limited,"1,052.75",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,02/06/2020,100303,A & R Contract Cleaning Specialist Limited,"1,074.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,02/06/2020,100303,A & R Contract Cleaning Specialist Limited,"1,548.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101004,Schools EDI - EDF Energy Plc,709.92,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101005,Schools EDI - EDF Energy Plc,556.10,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101031,Schools EDI - EDF Energy Plc,795.18,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101032,Schools EDI - EDF Energy Plc,778.99,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101047,Schools EDI - EDF Energy Plc,565.56,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101063,A & R Contract Cleaning Specialist Limited,"2,322.19",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101134,Schools EDI - EDF Energy Plc,"1,667.27",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101140,Schools EDI - EDF Energy Plc,722.43,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101145,Schools EDI - EDF Energy Plc,721.97,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101195,Schools EDI - EDF Energy Plc,517.75,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101202,Schools EDI - EDF Energy Plc,880.52,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101202,Konica Minolta Business Solutions Limited,"1,350.48",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101216,Schools EDI - EDF Energy Plc,654.87,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101221,Schools EDI - EDF Energy Plc,571.38,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101221,Llandaff Diocesan Board of Finance,"1,123.53",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101233,Schools EDI - EDF Energy Plc,521.65,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101285,Schools EDI - EDF Energy Plc,598.77,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101305,Schools EDI - EDF Energy Plc,-716.07,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101305,Schools EDI - EDF Energy Plc,-707.93,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101305,Schools EDI - EDF Energy Plc,677.87,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101305,Schools EDI - EDF Energy Plc,716.07,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101305,Schools EDI - EDF Energy Plc,746.13,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,101315,Schools EDI - EDF Energy Plc,517.37,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,102593,Education Staffing Solutions Limited,506.25,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,102593,Education Staffing Solutions Limited,506.25,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,102593,Education Staffing Solutions Limited,506.25,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/06/2020,102593,Education Staffing Solutions Limited,506.25,Revenue
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,02/06/2020,102636,Schools EDI - EDF Energy Plc,522.73,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,02/06/2020,201851,NonStop Consulting Limited,"1,336.44",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215121,Tunstall Healthcare (UK) Limited,517.01,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Grangelodge Residential Home Limited t/a Grangelodge,553.66,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Hafod Housing Association Limited,554.40,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Cardiff Homecare Limited,744.59,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Hafod Housing Association Limited,773.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Hafod Housing Association Limited,"1,911.14",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,216179,Grangelodge Residential Home Limited t/a Grangelodge,851.35,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,217905,Innovate Trust Limited,584.64,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,217905,Innovate Trust Limited,729.60,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,217905,National Autistic Society,"1,045.62",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,217905,Innovate Trust Limited,"1,216.99",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,217905,National Autistic Society,"2,868.43",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,217909,Accomplish Group Limited t/a Ty Bradwen,"1,755.30",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,218313,Gofal Cymru Care Limited,994.49,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,218321,Hafod Housing Association Limited,645.50,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,02/06/2020,239010,Ebase Technology Limited,"4,425.54",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/06/2020,260060,The National Fostering Agency Limited,"3,162.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/06/2020,260060,The National Fostering Agency Limited,"3,166.34",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/06/2020,260060,The National Fostering Agency Limited,"3,351.10",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/06/2020,260060,The National Fostering Agency Limited,"3,351.10",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/06/2020,260060,The National Fostering Agency Limited,"3,516.33",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/06/2020,260060,The National Fostering Agency Limited,"3,516.33",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/06/2020,260060,The National Fostering Agency Limited,"3,516.33",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/06/2020,260060,The National Fostering Agency Limited,"3,752.24",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/06/2020,260060,The National Fostering Agency Limited,"5,624.33",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/06/2020,260210,NonStop Consulting Limited,"1,336.44",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/06/2020,260210,NonStop Consulting Limited,"1,521.44",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/06/2020,260220,E4Law Limited t/a Lextox,827.00,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/06/2020,260250,Stepping Stones (Child Therapy Cons) Limited,925.00,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/06/2020,260255,Stepping Stones (Child Therapy Cons) Limited,640.00,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/06/2020,260260,Frontline Staffing Limited,"1,472.23",Revenue
DIRECT ENVIRONMENT AND HOUSING,GARAGE,02/06/2020,319010,Watts Truck & Van (Cardiff) Limited,773.39,Revenue
DIRECT ENVIRONMENT AND HOUSING,GARAGE,02/06/2020,319010,Euro Commercials (South Wales) Limited,"1,334.81",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,02/06/2020,333510,Ace Site Services (UK) Limited,650.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,02/06/2020,333510,Ace Site Services (UK) Limited,740.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/06/2020,365803,K-Tax Limited,652.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/06/2020,365803,K-Tax Limited,"4,843.50",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,02/06/2020,405004,Eclipse Hotel Cardiff Limited T/A Holiday Inn Express,"3,566.50",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,02/06/2020,405004,Eclipse Hotel Cardiff Limited T/A Holiday Inn Express,"5,349.75",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,02/06/2020,405108,Pegasus Maintenance Services Limited,550.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,02/06/2020,405108,Pegasus Maintenance Services Limited,"2,160.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,02/06/2020,405116,ID Estates Limited,500.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,02/06/2020,407119,Chamberlain Moss King Architecture Limited,750.00,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02/06/2020,420220,CIPFA Business Limited,590.00,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02/06/2020,420221,Wishtrac House Limited,529.80,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02/06/2020,420221,South West Audit Partnership Limited,"5,695.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02/06/2020,421230,Computacenter (UK) Limited,"4,765.44",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02/06/2020,421230,Computacenter (UK) Limited,"48,663.24",Revenue
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,02/06/2020,834231,JCP Solicitors Limited,"1,000.00",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02/06/2020,842164,RPA Quantity Surveyors Limited t/a RPA,"1,000.00",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02/06/2020,842166,RPA Quantity Surveyors Limited t/a RPA,"1,250.00",Capital
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,02/06/2020,190063,Amy Ferguson & Ptn T/A Fun Foundations Day Nursery,600.00,Revenue
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,02/06/2020,190063,Amy Ferguson & Ptn T/A Fun Foundations Day Nursery,600.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,02/06/2020,333600,Jonathan Edwards & Ptn T/A Jonathan Edwards & Son,"1,887.50",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Sharon Metson,600.00,Revenue
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,02/06/2020,102624,Teaching Personnel Limited,553.35,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,02/06/2020,103227,Bay Resourcing Limited,794.35,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02/06/2020,422160,Hays Specialist Recruitment Limited,935.40,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215022,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,548.83,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215022,Cheerful Elegant Healthcare Limited t/a Channel View Residential Care Home,634.60,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,J and P Residential Homes Limited T/A Monkstone House,501.68,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,501.91,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Springbank Care Home Limited T/A Springbank Nursing Home,502.44,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Sunshine Care Limited t/a The Retreat Care Home,503.09,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Hebron Hall Limited,503.56,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,HC-One Limited t/a Glanffrwd Care Home,507.93,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,509.31,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Waverley Care Centre Limited,512.46,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Springbank Care Home Limited T/A Springbank Nursing Home,512.48,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Cheerful Elegant Healthcare Limited t/a Channel View Residential Care Home,515.11,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Waverley Care Centre Limited,515.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,The Manor House St Hilary Limited T/A Milsom House,518.27,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,June Zehetmayr t/a Tower Hill Residential Home,519.03,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,519.31,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,The Royal Masonic Benevolent Institution Care Company T/A Albert Edward Prince of Wales Court,519.85,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,532.06,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,MHA Care Group t/a Morel Court,532.10,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,534.45,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,535.89,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,537.65,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Springbank Care Home Limited T/A Springbank Nursing Home,537.74,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,538.25,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,541.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Waverley Care Centre Limited,543.96,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Springbank Care Home Limited T/A Springbank Nursing Home,544.55,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Hafod Housing Association Limited T/A Brocastle Manor (Care Home),547.67,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Middlepatch Limited T/A College Fields Nursing Home,551.41,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/06/2020,215489,Northcote Developments Limited,559.93,Revenue
