Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02-Jul-2018,325207,EDF Energy Plc,603.03,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,02-Jul-2018,333218,EDF Energy Plc,659.49,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02-Jul-2018,341061,EDF Energy Plc,674.59,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02-Jul-2018,341260,EDF Energy Plc,"4,123.90",Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,02-Jul-2018,356020,EDF Energy Plc,"1,067.49",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,02-Jul-2018,400050,Recognising Excellence Limited,"1,181.25",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,02-Jul-2018,400052,Critiqom Limited,"1,237.26",Revenue
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,02-Jul-2018,403207,Westlakes Engineering Limited,"2,800.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,02-Jul-2018,407245,EDF Energy Plc,"1,258.45",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02-Jul-2018,422100,EDF Energy Plc,"7,096.63",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02-Jul-2018,422120,EDF Energy Plc,"2,852.48",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02-Jul-2018,422120,EDF Energy Plc,"2,805.76",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02-Jul-2018,422120,EDF Energy Plc,"2,508.88",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02-Jul-2018,422130,EDF Energy Plc,"5,245.14",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02-Jul-2018,422201,EDF Energy Plc,"2,711.86",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02-Jul-2018,421230,Merthyr Tydfil County Borough Council,900.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,02-Jul-2018,403135,Disclosure and Barring Service,836.00,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF SWPA PRECEPTS,02-Jul-2018,475970,The Police and Crime Commissioner for South Wales,"1,140,674.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Jul-2018,101305,TeacherActive Limited,"1,188.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,02-Jul-2018,103065,New Directions (Education) Limited,657.50,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,02-Jul-2018,103095,New Directions (Education) Limited,534.00,Revenue
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,02-Jul-2018,100650,Debbie Mills t/a Abracadabra Playgroup,"6,337.50",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,02-Jul-2018,405100,Nicky Palmer T/A Taxi Vans Cardiff,580.00,Revenue
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,02-Jul-2018,100650,Swallow Playgroup,"16,250.00",Revenue
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,02-Jul-2018,100650,Wick & District Playgroup,"3,250.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,02-Jul-2018,403300,Hope Rescue Centre Limited,"4,080.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,02-Jul-2018,403370,Hope Rescue Centre Limited,906.84,Revenue
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,03-Jul-2018,100121,ParentPay Limited,"1,683.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,03-Jul-2018,101055,Fire-Rite (UK) Limited,850.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,03-Jul-2018,101055,The Consortium for Purchasing and Distribution Limited,628.34,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,03-Jul-2018,101055,The Consortium for Purchasing and Distribution Limited,"1,076.35",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,03-Jul-2018,101094,Academics Limited,669.10,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,03-Jul-2018,101213,Legacy Leisure Limited,705.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,03-Jul-2018,101229,GLS Educational Supplies Limited t/a WNW,835.61,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,03-Jul-2018,102593,TLO - Turn Lights on Limited,800.00,Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,03-Jul-2018,102632,Inspired Learners Limited,800.00,Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,03-Jul-2018,102636,Cardiff City Football Club Limited T/A Cardiff City FC Community Foundation,"2,100.00",Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,03-Jul-2018,102636,Empowering Learning Limited,"1,675.38",Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,03-Jul-2018,102652,Acorns Nurseries Limited,549.50,Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,03-Jul-2018,102801,CJ Contract Travel Services Limited,918.00,Revenue
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,03-Jul-2018,120080,Askews & Holts Library Services Limited,601.21,Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,03-Jul-2018,130281,Barry Training Services Limited,650.00,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,03-Jul-2018,140122,Childcare Vouchers Limited,"29,941.22",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,03-Jul-2018,154401,Aderyn Limited T/A Pestaway,980.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Cardiff Homecare Limited,708.18,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Cardiff Homecare Limited,766.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Grangelodge Residential Home Limited t/a Grangelodge,513.66,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,216071,Vocendi Limited,840.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,216181,Care and Independence Limited,"1,072.86",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,216181,Hearing Products International Limited,684.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,216731,CJ Contract Travel Services Limited,570.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,216731,CJ Contract Travel Services Limited,570.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,217909,Care Management Group Limited,970.24,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,217909,Care Management Group Limited,"3,183.60",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,217909,Care Management Group Limited,970.24,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,217909,Care Management Group Limited,"3,183.60",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,217909,Consensus Support Services Limited t/a Ty Machen,"2,163.85",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,217909,Everycare (Cardiff) Limited,536.59,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,217909,Everycare (Cardiff) Limited,813.96,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,217909,Everycare (Cardiff) Limited,651.90,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,218419,Cardiff Homecare Limited,590.24,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,03-Jul-2018,260130,PayPoint Payment Services Limited,563.58,Revenue
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,03-Jul-2018,303000,Open Text UK Limited,"1,063.28",Revenue
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,03-Jul-2018,319010,Ted Hopkins Limited,703.95,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Jul-2018,323680,Horizon Civil Engineering Limited,574.60,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Jul-2018,323684,Golley Slater Group Limited,736.02,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,03-Jul-2018,333154,The Firewood Company (UK) Limited T/A Esa Tree Care,"2,100.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03-Jul-2018,341520,Golley Slater Group Limited,780.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,03-Jul-2018,354727,Robert Price (Builders Merchants) Limited,760.82,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,03-Jul-2018,359457,Buzz Publishers Limited,600.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,03-Jul-2018,359457,Festival Hookups Limited t/a Impression One,"2,250.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,03-Jul-2018,359457,Walk The Plank Limited,"11,833.33",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,03-Jul-2018,365786,Cardiff City Transport Services Limited,"122,113.52",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,03-Jul-2018,365786,ESP Systex Limited,"6,168.50",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,03-Jul-2018,365786,New Adventure Travel Limited,"25,971.36",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,03-Jul-2018,365787,Cardiff City Transport Services Limited,"6,300.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,03-Jul-2018,365791,Cardiff City Transport Services Limited,"1,180.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,03-Jul-2018,365791,Easyway Minicoach Hire Limited,"9,958.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,03-Jul-2018,365803,CJ Contract Travel Services Limited,"14,345.40",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,03-Jul-2018,365803,CJ Contract Travel Services Limited,"28,565.20",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,03-Jul-2018,365803,Travellink Solutions Limited,"1,380.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,03-Jul-2018,403135,Lyreco UK Limited,576.64,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,03-Jul-2018,403207,Minton Treharne & Davies Limited,"3,656.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,03-Jul-2018,403218,Minton Treharne & Davies Limited,980.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Jul-2018,405113,Interlet Residential Limited,650.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Jul-2018,405113,Knights Lettings Limited T/A Knights Estate Agents,635.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Jul-2018,405113,Knights Lettings Limited T/A Knights Estate Agents,675.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Jul-2018,405113,Knights Lettings Limited T/A Knights Estate Agents,750.00,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,03-Jul-2018,421230,Aligned Assets Limited,"3,926.09",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,03-Jul-2018,422100,Brecongate Projects Limited t/a Brecongate Building Solutions,"14,865.56",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,03-Jul-2018,440530,Northgate Public Services (UK) Limited,987.35,Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,03-Jul-2018,440611,Barnardo Services Limited,"5,000.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE POLICY MAKING,03-Jul-2018,460203,Vibe Creative Limited,"2,580.00",Revenue
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,03-Jul-2018,812251,BECT Building Contractors Limited,"79,534.02",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL BUILDING,03-Jul-2018,830000,FRF Motors Limited,"8,880.00",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL BUILDING,03-Jul-2018,830000,FRF Motors Limited,"8,880.00",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL BUILDING,03-Jul-2018,830000,FRF Motors Limited,"8,880.00",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL BUILDING,03-Jul-2018,830000,FRF Motors Limited,"8,880.00",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL BUILDING,03-Jul-2018,830000,FRF Motors Limited,"8,880.00",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL BUILDING,03-Jul-2018,830000,FRF Motors Limited,"8,880.00",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL BUILDING,03-Jul-2018,830000,FRF Motors Limited,"8,880.00",Capital
DIRECT CAPITAL DEVELOPMENT,AR CAPITAL LEISURE,03-Jul-2018,835382,ARC Electrical Engineering Solutions Limited,"29,783.45",Capital
DIRECT CAPITAL DEVELOPMENT,CAPITAL PLANNING,03-Jul-2018,837187,Haire Landscape Consultants Limited,"2,280.00",Capital
DIRECT CAPITAL DEVELOPMENT,CAPITAL PLANNING,03-Jul-2018,837187,Horizon Civil Engineering Limited,"19,166.60",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,03-Jul-2018,842166,Tony King Architects Limited,"9,500.00",Capital
DIRECT CAPITAL POLICY,CAPITAL POLICY,03-Jul-2018,852513,Capita Property and Infrastructure Limited,"9,000.00",Capital
DIRECT CAPITAL POLICY,CAPITAL POLICY,03-Jul-2018,852513,RGD King Limited,"3,850.00",Capital
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,03-Jul-2018,101229,Eastern Shires Purchasing Organisation,828.10,Revenue
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,03-Jul-2018,130281,Cardiff & Vale College,700.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,03-Jul-2018,400500,Cardiff & Vale College,910.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,03-Jul-2018,400500,Cardiff & Vale College,910.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,03-Jul-2018,400500,Cardiff & Vale College,910.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,03-Jul-2018,101075,Peter Regan & Ptn t/a Sonic Alarm Systems,719.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Jul-2018,405113,Elaine Hulbert & Ptn t/a Hulbert's Property Services,550.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,03-Jul-2018,101094,PSC - Michael Thomas,545.90,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,03-Jul-2018,103134,Glenda Jones,600.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,03-Jul-2018,365803,Peter Harris,"1,260.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Jul-2018,405113,Ian & Jackie Rogers,675.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Jul-2018,405113,Salvatore Cannatella,650.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03-Jul-2018,405113,Sharon Metson,650.00,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GENERAL EXPENDITURE POLICY,03-Jul-2018,471900,Wales Audit Office,"13,666.66",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GENERAL EXPENDITURE POLICY,03-Jul-2018,471900,Wales Audit Office,"8,113.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,03-Jul-2018,101095,New Directions (Education) Limited,667.50,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,03-Jul-2018,101261,Bay Resourcing Limited,597.20,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,03-Jul-2018,103095,New Directions (Education) Limited,667.50,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,03-Jul-2018,103213,New Directions (Education) Limited,652.50,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,03-Jul-2018,103227,New Directions (Education) Limited,657.50,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,03-Jul-2018,103229,Millennium Personnel Services (Education) Limited,625.00,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,03-Jul-2018,140119,Acorn Recruitment Limited,"1,685.52",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,03-Jul-2018,140119,Acorn Recruitment Limited,"1,404.22",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,03-Jul-2018,140131,Randstad Solutions Limited,"118,075.85",Revenue
DIRECT SOCIAL SERVICES,GF BUSINESS MANAGEMENT & INOVATION,03-Jul-2018,239291,Acorn Recruitment Limited,"1,154.23",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,03-Jul-2018,260150,Sanctuary Personnel Limited,"1,276.50",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,03-Jul-2018,260150,Sanctuary Personnel Limited,"1,276.50",Revenue
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,03-Jul-2018,303910,Hays Specialist Recruitment Limited,615.68,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215486,MHA Care Group t/a Ty Gwyn Private Nursing Home,"1,710.51",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215486,Springbank Care Home Limited T/A Springbank Nursing Home,919.39,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215486,Springbank Care Home Limited T/A Springbank Nursing Home,"1,282.89",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Avan Limited T/A Brightside Manor,600.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Baltimore Care Limited,516.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Baltimore Care Limited,516.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Baltimore Care Limited,526.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,506.04,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,645.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,"1,945.71",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,"1,945.71",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,516.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Duffryn Ffrwd Manor Limited,549.49,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Forge Care Homes Limited t/a The Forge Care Centre,925.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Forge Care Homes Limited t/a The Forge Care Centre,671.32,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Glamorgan Care Limited t/a Danygraig House,666.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Hafod Housing Association Limited T/A Brocastle Manor (Care Home),653.01,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Harrison Care Enterprises Barry Limited t/a Island View,516.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,June Zehetmayr t/a Tower Hill Residential Home,538.12,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Lakeside Homes Limited T/A Lakeside House,518.82,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,516.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,517.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,502.23,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,533.50,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,MHA Care Group t/a Morel Court,531.09,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,642.64,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,"4,296.52",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,552.58,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,574.12,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,590.99,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,"1,331.98",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,572.59,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,576.54,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,514.35,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,567.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,612.02,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,512.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Jul-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,614.52,Revenue
