Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,,
DIRECT SOCIAL SERVICES,GF BUSINESS MANAGEMENT & INOVATION,01-Nov-2018,239011,Hafod Care Association Limited,"2,062.50",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Nov-2018,260235,Walter Standen T/A Standens Contract Hire,714.00,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Nov-2018,260235,Walter Standen T/A Standens Contract Hire,663.00,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Nov-2018,260235,Walter Standen T/A Standens Contract Hire,"1,050.00",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Nov-2018,260235,Walter Standen T/A Standens Contract Hire,850.00,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Nov-2018,260060,Barnardos Cymru,"3,077.86",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01-Nov-2018,260060,Barnardos Cymru,"3,715.57",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,All Saints DC Limited,694.10,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,All Saints DC Limited,662.28,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,All Saints DC Limited,627.96,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,All Saints DC Limited,588.94,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,All Saints DC Limited,669.86,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Caring Companions Limited,544.18,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Caring Companions Limited,750.68,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Caring Companions Limited,571.55,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Caring Companions Limited,544.18,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Caring Companions Limited,588.43,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Caring Companions Limited,544.18,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Caring Companions Limited,523.60,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Caring Companions Limited,599.20,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Nestor Primecare Services Limited t/a Allied Healthcare,575.20,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Nestor Primecare Services Limited t/a Allied Healthcare,535.56,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Nestor Primecare Services Limited t/a Allied Healthcare,584.47,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Nestor Primecare Services Limited t/a Allied Healthcare,589.54,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Nestor Primecare Services Limited t/a Allied Healthcare,575.20,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Nestor Primecare Services Limited t/a Allied Healthcare,535.56,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Nestor Primecare Services Limited t/a Allied Healthcare,584.47,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Nestor Primecare Services Limited t/a Allied Healthcare,589.54,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215489,Nestor Primecare Services Limited t/a Allied Healthcare,568.55,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02-Nov-2018,101095,Dwr Cymru Cyf,"2,297.30",,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,02-Nov-2018,130030,Lyreco UK Limited,883.35,,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,02-Nov-2018,140122,Childcare Vouchers Limited,"28,877.04",,
DIRECT LEARNING AND SKILLS,GF CATERING,02-Nov-2018,154401,ABM Catering for Leisure Limited,"2,420.00",,
DIRECT LEARNING AND SKILLS,GF CATERING,02-Nov-2018,154401,Elygra Limited,"7,650.00",,
DIRECT LEARNING AND SKILLS,GF CATERING,02-Nov-2018,154401,Highfield International Limited,550.00,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,212741,BES Healthcare Ltd,535.00,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,215121,Tunstall Healthcare (UK) Limited,"1,381.25",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02-Nov-2018,218315,Tugbury Electrical Services Limited,795.00,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,02-Nov-2018,303000,Telefonica UK Limited t/a O2,"2,598.00",,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,02-Nov-2018,319010,Fleetwheel Limited,833.00,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,02-Nov-2018,323680,Edwards Diving Services Limited,"3,750.00",,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,02-Nov-2018,333600,Metro Rod Limited,616.00,,
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,02-Nov-2018,356021,David Evans Agricultural Limited,807.51,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,02-Nov-2018,365789,New Adventure Travel Limited,"6,191.44",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,02-Nov-2018,365789,New Adventure Travel Limited,"6,557.20",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,02-Nov-2018,365789,Peyton Travel Limited,"1,782.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,02-Nov-2018,365793,Creigiau Travel Limited,"6,264.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,02-Nov-2018,365794,New Adventure Travel Limited,"2,224.56",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,02-Nov-2018,365794,New Adventure Travel Limited,"2,518.80",,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,02-Nov-2018,403106,Complete Business Solutions Group Limited,889.00,,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,02-Nov-2018,403135,Millcastle Print Limited,700.00,,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,02-Nov-2018,403207,Minton Treharne & Davies Limited,684.00,,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,02-Nov-2018,403218,Arco Limited,814.70,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,02-Nov-2018,407100,Northgate Public Services (UK) Limited,756.82,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,02-Nov-2018,407260,Cardiff Lift Company Limited,"1,380.00",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02-Nov-2018,421230,Socitm Limited,"1,695.00",,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,02-Nov-2018,440617,Yogi Communications Limited,"7,015.00",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE POLICY MAKING,02-Nov-2018,460500,Reach Publishing Services Limited,802.94,,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GENERAL EXPENDITURE POLICY,02-Nov-2018,471900,GVA Grimley Limited,"14,500.00",,
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,02-Nov-2018,810118,AECOM Limited,"14,316.73",,
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,02-Nov-2018,810119,AECOM Limited,"10,928.67",,
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,02-Nov-2018,810119,AECOM Limited,"21,417.08",,
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,02-Nov-2018,810120,AECOM Limited,862.00,,
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,02-Nov-2018,812194,AVA Ecology Limited,"1,670.00",,
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,02-Nov-2018,812228,Rawlins & Madley LLP,"10,163.45",,
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,02-Nov-2018,834231,Wales & West Utilities Limited,"208,889.51",,
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,02-Nov-2018,834254,Pinit Building & Civil Engineering Limited,"8,011.00",,
DIRECT CAPITAL DEVELOPMENT,AR CAPITAL LEISURE,02-Nov-2018,835375,AECOM Limited,"3,824.57",,
DIRECT CAPITAL DEVELOPMENT,AR CAPITAL LEISURE,02-Nov-2018,835375,AECOM Limited,"3,969.77",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02-Nov-2018,842066,SMK Building & Maintenance Limited,"4,062.74",,
DIRECT CAPITAL POLICY,CAPITAL POLICY,02-Nov-2018,852235,Risual Limited,"3,800.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,02-Nov-2018,323200,Denbighshire County Council,"9,717.30",,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,02-Nov-2018,333201,Barry Town Council,"5,156.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,02-Nov-2018,365789,Ceri Slade,"2,812.00",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,02-Nov-2018,405100,Lyndon Mustoe,"3,071.10",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,02-Nov-2018,303910,Hays Specialist Recruitment Limited,690.42,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,02-Nov-2018,303910,Hays Specialist Recruitment Limited,848.43,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,02-Nov-2018,303910,Hays Specialist Recruitment Limited,615.68,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,02-Nov-2018,407106,Building Recruitment Company Limited,743.98,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,02-Nov-2018,407106,Building Recruitment Company Limited,744.94,,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02-Nov-2018,422160,Hays Specialist Recruitment Limited,721.65,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,1st Grade Care Limited,532.70,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,1st Grade Care Limited,626.65,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,1st Grade Care Limited,582.40,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,1st Grade Care Limited,621.60,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,Care In Wales Limited T/A Care in the Vale,730.93,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,Care In Wales Limited T/A Care in the Vale,715.42,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,Care In Wales Limited T/A Care in the Vale,724.65,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,Care In Wales Limited T/A Care in the Vale,731.18,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,Care In Wales Limited T/A Care in the Vale,779.82,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,Care In Wales Limited T/A Care in the Vale,620.83,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,Care In Wales Limited T/A Care in the Vale,637.71,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,Care In Wales Limited T/A Care in the Vale,538.31,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,Care In Wales Limited T/A Care in the Vale,666.69,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,Care In Wales Limited T/A Care in the Vale,595.62,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,Care In Wales Limited T/A Care in the Vale,649.81,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,215489,Care In Wales Limited T/A Care in the Vale,781.05,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,218419,Care In Wales Limited T/A Care in the Vale,673.56,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,218419,Care In Wales Limited T/A Care in the Vale,666.69,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05-Nov-2018,218419,Care In Wales Limited T/A Care in the Vale,677.98,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,05-Nov-2018,101025,ACT Outdoors Limited,"6,000.00",,
DIRECT LEARNING AND SKILLS,GF CATERING,05-Nov-2018,154401,ABM Catering for Leisure Limited,615.00,,
DIRECT LEARNING AND SKILLS,GF CATERING,05-Nov-2018,154401,ABM Catering for Leisure Limited,"3,080.00",,
DIRECT LEARNING AND SKILLS,GF CATERING,05-Nov-2018,157804,ABM Catering for Leisure Limited,"1,286.57",,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,05-Nov-2018,190011,Computacenter (UK) Limited,"1,095.63",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,05-Nov-2018,260255,Bay City Living Limited,"1,400.00",,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,05-Nov-2018,319010,Abbey Garages (Cardiff) Limited,598.00,,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,05-Nov-2018,319010,Fleetwheel Limited,-505.00,,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,05-Nov-2018,319010,Fuchs Lubricants (UK) Plc,803.68,,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,05-Nov-2018,319010,Mitchell Diesel Limited,"1,083.17",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,05-Nov-2018,359410,Barcham Trees Plc,"1,737.00",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,05-Nov-2018,402450,VOG Fire & Security Limited,800.00,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Nov-2018,407106,A McLay & Company Limited,"3,098.33",,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Nov-2018,407152,Get Yourself Noticed Limited,"1,013.50",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,05-Nov-2018,440530,Northgate Public Services (UK) Limited,"1,347.00",,
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,05-Nov-2018,812162,D & M Mechanical Engineers Limited,"1,375.00",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,05-Nov-2018,831530,Drainforce Limited,"52,470.00",,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Nov-2018,407100,Cardiff Met Company Limited,"1,860.00",,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Nov-2018,407100,University of South Wales,"1,860.00",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GENERAL EXPENDITURE POLICY,05-Nov-2018,471901,South Wales Fire and Rescue Service,"500,508.00",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF SWPA PRECEPTS,05-Nov-2018,475970,The Police and Crime Commissioner for South Wales,"1,140,674.00",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,05-Nov-2018,101075,New Directions (Education) Limited,640.00,,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,05-Nov-2018,140131,Randstad Solutions Limited,"107,215.55",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,05-Nov-2018,303931,Building Recruitment Company Limited,647.15,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Nov-2018,407106,Building Recruitment Company Limited,714.24,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Nov-2018,407106,James Andrews Recruitment Solutions Limited,724.50,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Nov-2018,407106,James Andrews Recruitment Solutions Limited,600.00,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Nov-2018,407106,James Andrews Recruitment Solutions Limited,775.50,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Nov-2018,407119,Building Recruitment Company Limited,639.73,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Nov-2018,407119,Building Recruitment Company Limited,510.06,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,05-Nov-2018,407119,Building Recruitment Company Limited,639.73,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,05-Nov-2018,101025,Jeffrey Ball T/A Gates 'N' Railings,"2,300.00",,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,05-Nov-2018,102632,Helen Glynn t/a Cardiff & Vale Tutors,756.00,,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,05-Nov-2018,102632,Helen Glynn t/a Cardiff & Vale Tutors,"1,680.00",,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,05-Nov-2018,319010,Ceri Williams t/a Mobile Tyre Services,"1,011.07",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,05-Nov-2018,260060,Action for Children,"14,181.00",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06-Nov-2018,101005,Amazon EU Sarl UK Branch,649.99,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06-Nov-2018,101095,RM Education Limited,"2,677.52",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06-Nov-2018,101195,C B Facilities Limited,500.00,,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,06-Nov-2018,102632,Empire Fighting Chance,"1,575.00",,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,06-Nov-2018,102801,CJ Contract Travel Services Limited,918.00,,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,06-Nov-2018,130045,Dwr Cymru Cyf,985.96,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,06-Nov-2018,212731,Dwr Cymru Cyf,"3,121.10",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,06-Nov-2018,212741,Dwr Cymru Cyf,"3,343.50",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,06-Nov-2018,212781,Dwr Cymru Cyf,"4,931.43",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,06-Nov-2018,213271,Dwr Cymru Cyf,997.64,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,06-Nov-2018,215401,Dwr Cymru Cyf,921.35,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,06-Nov-2018,215489,Grangelodge Residential Home Limited t/a Grangelodge,513.66,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,06-Nov-2018,217909,Consensus Support Services Limited t/a Ty Machen,"2,285.13",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,06-Nov-2018,217909,Consensus Support Services Limited t/a Ty Machen,"3,759.68",,
DIRECT SOCIAL SERVICES,GF YOS,06-Nov-2018,221251,Dwr Cymru Cyf,976.19,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,06-Nov-2018,301050,Dwr Cymru Cyf,"1,396.49",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,06-Nov-2018,303900,Edmundson Electrical Limited,878.87,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,06-Nov-2018,303900,Vellacine Limited,"2,186.00",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,06-Nov-2018,303900,Vellacine Limited,675.00,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,06-Nov-2018,303900,WWS 1987 Limited T/A Welsh Window Systems,650.00,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,06-Nov-2018,303910,SMK Building & Maintenance Limited,506.42,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,06-Nov-2018,303950,ADC Fire Systems Limited,749.20,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,06-Nov-2018,303950,ADC Fire Systems Limited,749.20,,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,06-Nov-2018,303950,ARC Electrical Engineering Solutions Limited,"1,742.45",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,06-Nov-2018,303950,Heatforce (Wales) Limited,"4,750.00",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,06-Nov-2018,305786,G.P.H.I.T (Integrated Services) Limited,"15,728.50",,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,06-Nov-2018,319010,Fleetwheel Limited,741.55,,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,06-Nov-2018,319010,Scarab Sweepers Limited,"2,375.99",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,06-Nov-2018,325562,Barrier Services Limited,"4,833.17",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,06-Nov-2018,325790,Dwr Cymru Cyf,718.59,,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,06-Nov-2018,333200,Dwr Cymru Cyf,"1,634.86",,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,06-Nov-2018,333600,Dwr Cymru Cyf,"2,493.44",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,06-Nov-2018,341120,Dwr Cymru Cyf,710.51,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,06-Nov-2018,341120,Dwr Cymru Cyf,535.18,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,06-Nov-2018,365786,Cardiff City Transport Services Limited,"121,826.06",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,06-Nov-2018,365803,CJ Contract Travel Services Limited,"14,345.40",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,06-Nov-2018,365803,CJ Contract Travel Services Limited,"28,536.20",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,06-Nov-2018,365803,Merricks Private Transport Contractors Limited,"1,350.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,06-Nov-2018,365803,Travellink Solutions Limited,"1,380.00",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,06-Nov-2018,422130,Dwr Cymru Cyf,"5,488.07",,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,06-Nov-2018,403211,Bridgend County Borough Council,"3,169.36",,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,06-Nov-2018,403211,Cardiff County Council,"10,595.23",,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,06-Nov-2018,403206,University of South Wales,"1,725.00",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,06-Nov-2018,101195,Millennium Personnel Services (Education) Limited,"1,236.50",,
